totaldebt_invcap_subw_leverage_ratio,rect_turn_subw_asset_liabilities,leverage_ratio_subw_debt_ratio,asset_liabilities_subw_debt_ratio,capitalization_ratio_subw_debt_ratio2,totaldebt_invcap_subw_debt_ratio2,roe_subw_roa,asset_turnover_subw_roa,longtermdebt_invcap_subw_capitalization_ratio,label
-5.189514438766591,-0.3308947995491628,8.755728518144991,-0.1060710380199901,0.11649292026112619,0.21243805442041122,0.03517206762502066,0.026810149004255962,0.0,0
-5.123295946621442,-0.3294062927452423,8.631862110128935,-0.10761479467662786,0.10953811905150672,0.20656210823431473,0.03833360179356185,0.027661264845660914,0.0,0
-5.308995631115448,-0.3310400112306939,8.980314581164,-0.1031353321181741,0.1553238936815016,0.2228339592111973,0.04584224544384716,0.027235706924958438,0.0,0
-4.618379944014678,-0.32944937493727017,7.957478333152635,-0.11423679116893758,0.11707248702859449,0.338544899491251,0.05611723149160601,0.030640170290578247,0.020880594746436436,0
-4.51869232268747,-0.3210349311932103,7.794825474141654,-0.11569005536259865,0.10026505077201407,0.3448728415378165,0.05058454669665893,0.03532130741830547,0.016061995958797294,0
-4.229706185771411,-0.311186768938342,7.415093607142939,-0.12125727079946987,0.10664028521416527,0.4284920757245741,0.06560183399722956,0.04042800246673518,0.057823185451670214,0
-4.109505227203586,-0.3152556898635418,7.202393714590118,-0.12470534210996978,0.11359508642378474,0.42397211711988453,0.05651242326267366,0.045109139594462416,0.06264178423930936,0
-4.290886314383777,-0.3234305772963979,7.455131233976411,-0.12189730506423802,0.15416476014656502,0.38329248967767815,0.05335088909413247,0.03915132870462776,0.09958437494454313,0
-4.334432170631403,-0.3230701478175362,7.52144355341935,-0.12271738464976356,0.158221727518843,0.37741654349158166,0.05216531378092953,0.041704676228842615,0.10359987393424246,0
-4.54028530925654,-0.3230990472206122,7.717252572151802,-0.11625738930654109,0.1379368906574529,0.2644175783743416,0.028848999287938295,0.04298134999095004,0.0,0
-4.681719371283952,-0.3249549094591797,7.946217750605721,-0.11472477007087463,0.1367777571225163,0.25492566530449345,0.010670177818826496,0.03915132870462776,0.0,0
-4.483063894848504,-0.32746889260744755,7.589007048700835,-0.11630457102685893,0.1275046888430237,0.24543375223464525,0.009879794276691199,0.034470191576900525,0.0,0
-4.422603532455106,-0.3266950207873792,7.524571493015714,-0.12190356746762282,0.12112945440087251,0.27164951214184496,-0.010274986047758847,0.03702353910111538,0.0,0
-4.478025531315721,-0.3214131099060494,7.660324071497957,-0.11735681058074147,0.11649292026112619,0.29831726790951363,0.00395191771067648,0.0365979811804129,0.0,0
-4.431240727082735,-0.31799910222822686,7.513936498388074,-0.12109208787966053,0.12054988763340423,0.25492566530449345,0.016202862613773565,0.037023539101115374,0.0,0
-4.329033923989135,-0.32351998775789426,7.347530111861455,-0.12128290195685032,0.09446938309733119,0.2630615907929348,0.021340355637652988,0.032342401973388155,0.0,0
-4.142974356385645,-0.3199525888777373,6.972802948216925,-0.13038236493226577,0.16807436256580394,0.2219299674902594,0.034381684082885375,0.027235706924958438,0.0,0
-4.54496378967984,-0.3501770685254375,7.6227887963415775,-0.12010488172920114,0.20748490275364764,0.19255023655977696,0.054141272636267765,0.026810149004255962,0.0,0
-4.646810709663955,-0.34740386342498786,7.917440706319162,-0.11631041909045213,0.2608050453607303,0.25854163218824516,0.056117231491605996,0.027661264845660914,0.0,0
-4.660486267824366,-0.34647596727795743,7.981250674085009,-0.11503773363924837,0.28224901575705696,0.2743614873046587,0.048213396070253045,0.028512380687065866,0.0,0
-6.085623381383014,-0.3342406247420534,10.93027212553796,-0.08586971959786875,0.21443970396326711,0.6065784447493443,-0.0569076150337413,0.04553469751516489,0.0,0
