totaldebt_invcap_sub_leverage_ratio,rect_turn_sub_asset_liabilities,leverage_ratio_sub_debt_ratio,asset_liabilities_sub_debt_ratio,capitalization_ratio_sub_debt_ratio2,totaldebt_invcap_sub_debt_ratio2,roe_sub_roa,asset_turnover_sub_roa,longtermdebt_invcap_sub_capitalization_ratio,label
-14.42,-0.9130480630000001,13.996,0.13004806300000005,0.201,0.47000000000000003,0.089,0.063,0.0,0
-14.236,-0.9089407809999999,13.798,0.13194078099999984,0.189,0.457,0.097,0.065,0.0,0
-14.752,-0.91344875,14.355,0.1264487500000001,0.268,0.49300000000000005,0.116,0.064,0.0,0
-12.832999999999998,-0.909059659,12.719999999999999,0.14005965899999995,0.202,0.7489999999999999,0.14200000000000002,0.07200000000000001,0.025999999999999968,0
-12.556000000000001,-0.8858414290000001,12.46,0.14184142899999996,0.173,0.763,0.128,0.08299999999999999,0.020000000000000018,0
-11.753,-0.8586670960000001,11.853,0.14866709600000005,0.184,0.948,0.166,0.095,0.07200000000000001,0
-11.419,-0.869894593,11.513,0.15289459299999997,0.196,0.9380000000000001,0.14300000000000002,0.10600000000000001,0.07799999999999996,0
-11.923,-0.8924518079999999,11.917,0.1494518079999999,0.266,0.8480000000000001,0.135,0.092,0.124,0
-12.044,-0.891457264,12.023,0.15045726400000003,0.27299999999999996,0.8350000000000001,0.132,0.098,0.129,0
-12.616,-0.8915370069999999,12.336,0.14253700699999994,0.238,0.585,0.073,0.101,0.0,0
-13.009,-0.896657944,12.702,0.14065794399999987,0.236,0.5640000000000001,0.027000000000000003,0.092,0.0,0
-12.457,-0.903594854,12.131,0.14259485399999994,0.22000000000000003,0.5429999999999999,0.025,0.081,0.0,0
-12.289,-0.901459486,12.027999999999999,0.14945948599999992,0.20900000000000002,0.601,-0.026000000000000002,0.08700000000000001,0.0,0
-12.443,-0.8868849490000001,12.245,0.14388494900000004,0.201,0.66,0.010000000000000002,0.086,0.0,0
-12.313,-0.877464574,12.011,0.14846457400000002,0.20800000000000002,0.5640000000000001,0.041,0.087,0.0,0
-12.029,-0.892698521,11.745000000000001,0.14869852100000003,0.163,0.5820000000000001,0.054,0.07600000000000001,0.0,0
-11.690999999999999,-0.902642663,11.392999999999999,0.15264266299999996,0.097,0.571,0.098,0.064,0.0,0
-11.512,-0.8828548890000001,11.146,0.159854889,0.29,0.49100000000000005,0.08700000000000001,0.064,0.0,0
-12.629000000000001,-0.9662542129999999,12.185,0.14725421299999986,0.358,0.426,0.137,0.063,0.0,0
-12.911999999999999,-0.9586020239999999,12.655999999999999,0.14260202399999988,0.45000000000000007,0.5720000000000001,0.142,0.065,0.0,0
-12.95,-0.9560416519999999,12.758,0.14104165199999985,0.487,0.607,0.122,0.067,0.0,0
-12.818999999999999,-0.9504988649999999,12.674,0.14149886499999986,0.44799999999999995,0.66,0.044,0.076,0.0,0
-13.276,-0.944119026,13.328000000000001,0.13611902599999992,0.388,0.85,-0.019,0.091,0.0,0
-16.91,-0.9222803,17.471999999999998,0.1052803000000001,0.37,1.3419999999999999,-0.14400000000000002,0.107,0.0,0
-18.541,-0.8709354070000002,21.297,0.08793540700000013,0.027999999999999997,3.504,0.114,0.116,0.0,0
-22.062,-0.860235845,22.708000000000002,0.08123584500000003,0.41400000000000003,1.457,0.14400000000000002,0.094,0.0,0
-17.705000000000002,-0.8794452739999999,18.193,0.09344527400000002,0.4079999999999999,1.27,0.204,0.08,0.0,0
-14.022,-0.9207272080000001,13.874,0.12772720800000004,0.45499999999999996,0.672,0.11099999999999999,0.064,0.0,0
-17.801,-0.929690686,18.14,0.1126906860000001,0.44199999999999995,1.127,0.07200000000000001,0.061,0.0,0
-19.834999999999997,-0.9061532109999999,20.221,0.09415321099999996,0.49699999999999994,1.141,0.078,0.07300000000000001,0.0,0
-20.612,-0.9099113299999999,20.735,0.09091132999999996,0.5569999999999999,0.8979999999999999,0.10700000000000001,0.077,0.0,0
-18.422,-0.927938204,18.301,0.09693820400000008,0.565,0.692,0.055,0.07100000000000001,0.0,0
-15.655999999999999,-0.9606009449999999,15.453999999999999,0.11660094499999996,0.379,0.663,0.051000000000000004,0.05500000000000001,0.0,0
-15.518000000000002,-0.980482612,15.570000000000002,0.11748261199999999,0.42900000000000005,0.866,-0.079,0.047,0.0,0
-15.259,-0.9715372430000001,15.542,0.11853724300000013,0.431,1.046,0.05700000000000001,0.035,0.0,0
-15.842999999999998,-0.9264030120000001,15.854,0.11440301200000014,0.515,0.7849999999999999,0.11099999999999999,0.048,0.0,0
-15.821,-0.9433927790000001,15.855,0.12039277900000012,0.531,0.741,0.013000000000000001,0.049,0.0,0
-17.896,-0.929254503,17.977,0.10125450300000005,0.545,0.8009999999999999,0.14300000000000002,0.056,0.0,0
-15.468,-0.937094885,15.519,0.11109488500000009,0.521,0.777,0.14800000000000002,0.054,0.0,0
-13.56,-0.935529654,13.244000000000002,0.13652965399999994,0.126,0.569,0.185,0.053000000000000005,0.0030000000000000027,0
-13.317,-0.9493662780000001,12.886000000000001,0.139366278,0.13999999999999999,0.463,0.165,0.048,0.009000000000000008,0
-13.628,-0.9419754,13.155000000000001,0.13697539999999997,0.11099999999999999,0.42700000000000005,0.171,0.05,0.007000000000000006,0
-13.158999999999999,-0.916211424,13.017,0.13721142399999997,0.21500000000000002,0.737,0.196,0.064,0.09099999999999997,0
-13.871,-0.8767060579999999,13.844000000000001,0.1287060579999999,0.22799999999999998,0.849,0.21,0.08,0.09300000000000003,0
-13.672,-0.8188276329999999,13.3,0.1328276329999999,0.15100000000000002,0.516,0.253,0.10099999999999999,0.0,0
-13.727,-0.8473918779999999,14.017000000000001,0.12739187799999985,0.05399999999999999,1.137,0.226,0.10200000000000001,0.0,0
-13.526,-0.897320155,14.081,0.12732015500000005,0.10799999999999998,1.397,0.226,0.08600000000000001,0.04400000000000001,0
-14.528999999999998,-0.894445521,15.236999999999998,0.11944552100000005,0.039999999999999994,1.537,0.21100000000000002,0.097,0.0,0
-13.574,-0.9048993120000001,14.200999999999999,0.12489931200000015,0.019000000000000003,1.454,0.193,0.094,0.0,0
-12.439,-0.934902395,13.106,0.134902395,0.0020000000000000018,1.48,0.012,0.096,0.0,0
-15.148,-0.920284207,15.679,0.12328420700000009,0.07099999999999998,1.373,-0.40199999999999997,0.105,0.0,0
-78.485,-0.5332083820000001,78.82000000000001,0.0462083820000001,0.672,1.049,-0.662,0.109,-0.04600000000000004,0
-16.037,-0.9247839929999999,17.895999999999997,0.11478399299999997,0.14199999999999996,2.599,0.128,0.05499999999999999,0.0,0
-17.301000000000002,-0.8924576189999999,19.921,0.10645761899999995,0.11300000000000002,3.336,0.128,0.072,0.02799999999999997,0
-15.904000000000002,-0.9024869379999999,17.714000000000002,0.10948693799999998,0.146,2.536,0.12000000000000001,0.066,0.0,0
-14.966,-0.9078379969999999,16.648999999999997,0.10883799699999996,0.11900000000000002,2.418,0.076,0.062,0.0,0
-14.888,-0.890179854,17.462,0.10417985400000007,0.020000000000000018,3.274,0.077,0.062,0.0,0
