totaldebt_invcap_mul_leverage_ratio,totaldebt_invcap_sub_leverage_ratio,rect_turn_mul_asset_liabilities,rect_turn_sub_asset_liabilities,leverage_ratio_mul_debt_ratio,leverage_ratio_sub_debt_ratio,asset_liabilities_mul_debt_ratio,asset_liabilities_sub_debt_ratio,capitalization_ratio_mul_debt_ratio2,capitalization_ratio_sub_debt_ratio2,totaldebt_invcap_mul_debt_ratio2,totaldebt_invcap_sub_debt_ratio2,roe_mul_roa,roe_sub_roa,asset_turnover_mul_roa,asset_turnover_sub_roa,longtermdebt_invcap_mul_capitalization_ratio,longtermdebt_invcap_sub_capitalization_ratio,label
7.660629,-14.42,0.16432540170200002,-0.9130480630000001,13.992221,13.996,0.9998240350310001,0.13004806300000005,0.010492,0.201,0.022059,0.47000000000000003,0.0019259999999999998,0.089,0.0014579999999999999,0.063,0.059536,0.0,0
7.337532,-14.236,0.169802584179,-0.9089407809999999,13.791024,13.798,0.999592571016,0.13194078099999984,0.009430000000000001,0.189,0.020418000000000002,0.457,0.00234,0.097,0.0017000000000000001,0.065,0.0529,0.0,0
8.289348,-14.752,0.16194821,-0.91344875,14.361066,14.355,1.00045637625,0.1264487500000001,0.015533,0.268,0.026558000000000002,0.49300000000000005,0.0028770000000000002,0.116,0.0017850000000000003,0.064,0.10048900000000001,0.0,0
11.180988,-12.832999999999998,0.174745724417,-0.909059659,12.723664,12.719999999999999,0.999159602188,0.14005965899999995,0.019040000000000005,0.202,0.05733,0.7489999999999999,0.004175000000000001,0.14200000000000002,0.002425,0.07200000000000001,0.081056,0.025999999999999968,0
11.16726,-12.556000000000001,0.199362505794,-0.8858414290000001,12.452700000000002,12.46,0.9968125289700001,0.14184142899999996,0.017324,0.173,0.05921399999999999,0.763,0.003473,0.128,0.002438,0.08299999999999999,0.064416,0.020000000000000018,0
13.125059999999998,-11.753,0.23341975983200003,-0.8586670960000001,11.84706,11.853,0.9971433979920001,0.14866709600000005,0.020777,0.184,0.081133,0.948,0.00588,0.166,0.00375,0.095,0.088105,0.07200000000000001,0
12.68778,-11.419,0.225488969937,-0.869894593,11.518514000000001,11.513,0.9990563931180001,0.15289459299999997,0.022796000000000004,0.196,0.08364,0.9380000000000001,0.003818,0.14300000000000002,0.002967,0.10600000000000001,0.098968,0.07799999999999996,0
11.843090000000002,-11.923,0.19932858448,-0.8924518079999999,11.920160000000001,11.917,0.999875277824,0.1494518079999999,0.025160000000000002,0.266,0.068228,0.8480000000000001,0.0034539999999999996,0.135,0.002508,0.092,0.15776,0.124,0
11.746557000000001,-12.044,0.20167150836800002,-0.891457264,12.018528000000002,12.023,1.0008083409920001,0.15045726400000003,0.024839999999999997,0.27299999999999996,0.065304,0.8350000000000001,0.003388,0.132,0.0026399999999999996,0.098,0.16352999999999998,0.129,0
8.6229,-12.616,0.19412919826699998,-0.8915370069999999,12.337380000000001,12.336,0.99745941651,0.14253700699999994,0.019695,0.238,0.04225,0.585,0.001218,0.073,0.00161,0.101,0.091809,0.0,0
8.52125,-13.009,0.18878779814399999,-0.896657944,12.706888000000001,12.702,0.999717203808,0.14065794399999987,0.018116999999999998,0.236,0.038125,0.5640000000000001,0.0005740000000000001,0.027000000000000003,0.001484,0.092,0.088209,0.0,0
7.87518,-12.457,0.18002793547200002,-0.903594854,12.132740000000002,12.131,0.9955116193660001,0.14259485399999994,0.016800000000000002,0.22000000000000003,0.03618,0.5429999999999999,0.000656,0.025,0.001552,0.081,0.07840000000000001,0.0,0
8.641652,-12.289,0.18963286953599998,-0.901459486,12.023168,12.027999999999999,0.999882403008,0.14945948599999992,0.018150000000000003,0.20900000000000002,0.044022000000000006,0.601,-0.00016800000000000002,-0.026000000000000002,0.0014140000000000001,0.08700000000000001,0.07562500000000001,0.0,0
9.630194,-12.443,0.199556600514,-0.8868849490000001,12.238646000000001,12.245,0.9967101176210001,0.14388494900000004,0.019312,0.201,0.051900999999999996,0.66,0.000504,0.010000000000000002,0.0018719999999999997,0.086,0.07398400000000001,0.0,0
8.099814,-12.313,0.21421645022600003,-0.877464574,12.007392000000001,12.011,0.9989591246720001,0.14846457400000002,0.01674,0.20800000000000002,0.038812,0.5640000000000001,0.001472,0.041,0.00253,0.087,0.0729,0.0,0
8.148096,-12.029,0.196852829343,-0.892698521,11.746944000000001,11.745000000000001,0.9971725289670001,0.14869852100000003,0.013664,0.163,0.039223,0.5820000000000001,0.001771,0.054,0.002277,0.07600000000000001,0.050176000000000005,0.0,0
7.723386,-11.690999999999999,0.18858746602499998,-0.902642663,11.39415,11.392999999999999,0.996819463275,0.15264266299999996,0.008568,0.097,0.035112,0.571,0.00384,0.098,0.00282,0.064,0.023409,0.0,0
6.722433000000001,-11.512,0.2165709778,-0.8828548890000001,11.139687000000002,11.146,0.9994750625470001,0.159854889,0.023496,0.29,0.036762,0.49100000000000005,0.00351,0.08700000000000001,0.00282,0.064,0.126736,0.0,0
6.36029,-12.629000000000001,0.11838796342999999,-0.9662542129999999,12.182906000000001,12.185,0.9998401638769999,0.14725421299999986,0.024602999999999996,0.358,0.028614999999999998,0.426,0.0054080000000000005,0.137,0.00304,0.063,0.173889,0.0,0
9.171225,-12.911999999999999,0.12346423276,-0.9586020239999999,12.649497,12.655999999999999,0.999523484344,0.14260202399999988,0.056959,0.45000000000000007,0.069525,0.5720000000000001,0.005984,0.142,0.0033660000000000005,0.065,0.30580900000000005,0.0,0
